Designator,Mid X,Mid Y,Rotation,Layer
SW1,52.251122,-74.756485,340.0,top
SW10,120.916228,-108.251319,340.0,top
SW11,39.254348,-110.464828,340.0,top
SW12,61.177858,-105.806157,340.0,top
SW13,81.154602,-106.449398,340.0,top
SW14,97.445045,-117.244055,340.0,top
SW15,114.41168,-126.122418,340.0,top
SW16,98.059714,-141.965018,325.0,top
SW17,113.42863,-156.108335,310.0,top
SW2,74.209525,-69.978556,340.0,top
SW3,94.163687,-70.707226,340.0,top
SW4,110.448494,-81.499831,340.0,top
SW5,127.429984,-90.413397,340.0,top
SW6,45.752732,-92.610668,340.0,top
SW7,67.685833,-87.902253,340.0,top
SW8,87.659149,-88.5783,340.0,top
SW9,103.949593,-99.372958,340.0,top
U1,132.426387,-125.311261,0.0,top
